date,price,return
06/11/2019,29820,-0.002177373
07/11/2019,29725,-0.003190867
08/11/2019,29624,-0.003403599
11/11/2019,29821,0.006628
12/11/2019,29797,-0.000805126
13/11/2019,29808,0.000369097
14/11/2019,29884,0.002546406
15/11/2019,29931,0.001571512
18/11/2019,30055,0.004134304
19/11/2019,29979,-0.0025319
20/11/2019,29978,-3.34E-05
21/11/2019,29949,-0.000967844
22/11/2019,29759,-0.006364328
25/11/2019,29919,0.005362123
26/11/2019,29832,-0.002912087
27/11/2019,29977,0.004848778
28/11/2019,29954,-0.000767549
29/11/2019,29977,0.000767549
02/12/2019,29979,6.67E-05
03/12/2019,30102,0.004094478
04/12/2019,30360,0.008534338
05/12/2019,30476,0.003813536
06/12/2019,30440,-0.001181956
09/12/2019,30452,0.00039414
10/12/2019,30478,0.000853438
11/12/2019,30575,0.00317757
12/12/2019,30495,-0.002619946
13/12/2019,30878,0.01248122
16/12/2019,30891,0.000420923
17/12/2019,30425,-0.01520024
18/12/2019,30301,-0.004083924
19/12/2019,30136,-0.005460245
20/12/2019,30132,-0.00013274
23/12/2019,29970,-0.005390849
24/12/2019,29999,0.000967166
25/12/2019,30032,0.001099432
26/12/2019,30108,0.002527437
27/12/2019,30298,0.006290787
30/12/2019,30383,0.002801538
31/12/2019,30741,0.011714027
01/01/2020,30711,-0.000976372
02/01/2020,30452,-0.008469223
03/01/2020,30322,-0.004278152
06/01/2020,30516,0.006377615
07/01/2020,30415,-0.003315228
08/01/2020,30355,-0.001974659
09/01/2020,30276,-0.002605929
10/01/2020,30266,-0.000330349
13/01/2020,30092,-0.005765615
14/01/2020,30165,0.002422956
15/01/2020,30204,0.001292054
16/01/2020,30298,0.003107338
17/01/2020,30140,-0.005228511
20/01/2020,30141,3.32E-05
21/01/2020,30235,0.003113823
22/01/2020,30444,0.006888737
23/01/2020,30400,-0.001446322
24/01/2020,30296,-0.003426918
27/01/2020,30242,-0.001784004
28/01/2020,30182,-0.001985966
29/01/2020,30166,-0.000530258
30/01/2020,30355,0.006245786
31/01/2020,30651,0.00970404
03/02/2020,30209,-0.014525395
04/02/2020,30266,0.001885077
05/02/2020,30186,-0.00264673
06/02/2020,30020,-0.005514415
07/02/2020,29946,-0.002468066
10/02/2020,30033,0.002901017
11/02/2020,30098,0.002161947
12/02/2020,30132,0.001129006
13/02/2020,30315,0.00605491
14/02/2020,30325,0.000329815
17/02/2020,30210,-0.003799459
18/02/2020,30206,-0.000132415
19/02/2020,30004,-0.006709874
20/02/2020,29926,-0.002603038
21/02/2020,30143,0.007225056
24/02/2020,30056,-0.002890415
25/02/2020,30260,0.0067644
26/02/2020,29987,-0.009062754
27/02/2020,29942,-0.001501777
28/02/2020,29794,-0.004955146
02/03/2020,29633,-0.005418426
03/03/2020,29742,0.003671583
04/03/2020,29866,0.004160521
05/03/2020,30089,0.007438947
06/03/2020,30276,0.006195663
09/03/2020,30427,0.004975053
10/03/2020,29908,-0.017204369
11/03/2020,29707,-0.006743295
12/03/2020,29158,-0.018653391
13/03/2020,28492,-0.023105972
16/03/2020,28488,-0.0001404
17/03/2020,28002,-0.01720701
18/03/2020,27035,-0.035143613
19/03/2020,26822,-0.007909877
20/03/2020,27304,0.017810765
23/03/2020,27184,-0.004404647
24/03/2020,27723,0.019633829
25/03/2020,28034,0.011155666
26/03/2020,28821,0.027686229
27/03/2020,29421,0.020604417
30/03/2020,29351,-0.002382088
31/03/2020,29326,-0.000852123
01/04/2020,29195,-0.004477033
02/04/2020,29233,0.001300746
03/04/2020,28872,-0.012425941
06/04/2020,28665,-0.007195401
07/04/2020,28912,0.008579867
08/04/2020,29167,0.008781199
09/04/2020,29254,0.002978383
10/04/2020,29181,-0.002498504
13/04/2020,29306,0.004274461
14/04/2020,29627,0.010893835
15/04/2020,29333,-0.009972946
16/04/2020,29195,-0.0047157
17/04/2020,29278,0.002838919
20/04/2020,29160,-0.004038474
21/04/2020,28839,-0.011069269
22/04/2020,28954,0.003979726
23/04/2020,29009,0.001897763
24/04/2020,29069,0.002066188
27/04/2020,29150,0.002782599
28/04/2020,29117,-0.001132717
29/04/2020,29208,0.003120448
30/04/2020,29501,0.009981517
01/05/2020,29292,-0.00710972
04/05/2020,29170,-0.004173657
05/05/2020,29119,-0.001749902
06/05/2020,28906,-0.007341696
07/05/2020,28956,0.00172825
